"","country","points","price","province","title","variety","winery"
"31","US",91,38,"California","Dante Robere 2014 Dante's Inferno Red (California)","Rhône-style Red Blend","Dante Robere"
"32","Spain",87,18,"Northern Spain","Solabal 2010 Crianza  (Rioja)","Tempranillo","Solabal"
"33","France",90,NA,"Bordeaux","Château Latour-Martillac 2008  Pessac-Léognan","Bordeaux-style Red Blend","Château Latour-Martillac"
"34","France",92,70,"Burgundy","Château de Maligny 2010 Les Clos Grand Cru  (Chablis)","Chardonnay","Château de Maligny"
"35","Italy",88,19,"Veneto","La Tordera NV Extra Dry  (Prosecco di Valdobbiadene)","Prosecco","La Tordera"
"36","Spain",87,15,"Catalonia","Albet I Noya 2016 XA Xarel-lo (Penedès)","Xarel-lo","Albet I Noya"
"37","Germany",91,20,"Rheinhessen","Thörle 2011 Trocken Spätburgunder (Rheinhessen)","Spätburgunder","Thörle"
"38","US",90,35,"California","Arrowood 2012 Cabernet Sauvignon (Sonoma County)","Cabernet Sauvignon","Arrowood"
"39","Spain",90,19,"Catalonia","Cellers Sant Rafel 2007 Solpost Fresc Red (Montsant)","Red Blend","Cellers Sant Rafel"
"40","Italy",94,NA,"Tuscany","Biondi Santi 2011  Brunello di Montalcino","Sangiovese","Biondi Santi"
"41","France",91,40,"Rhône Valley","Jean-Luc Colombo 2015 La Belle de Mai Roussanne-Marsanne (Saint-Péray)","Roussanne-Marsanne","Jean-Luc Colombo"
"42","Germany",93,28,"Mosel","Reichsgraf von Kesselstatt 2014 Graach Josephshöfer Monopol Kabinett Grosse Lage Riesling (Mosel)","Riesling","Reichsgraf von Kesselstatt"
"43","France",89,NA,"Bordeaux","Château Citran 2010  Haut-Médoc","Bordeaux-style Red Blend","Château Citran"
"44","Spain",93,45,"Northern Spain","Bodegas Leda 2005 Leda Viñas Viejas Tempranillo (Vino de la Tierra de Castilla y León)","Tempranillo","Bodegas Leda"
"45","Portugal",87,15,"Lisboa","Bacalhôa Wines of Portugal 2013 Quinta dos Loridos Alvarinho (Lisboa)","Alvarinho","Bacalhôa Wines of Portugal"
"46","US",93,55,"California","Siduri 2015 Parsons' Vineyard Pinot Noir (Russian River Valley)","Pinot Noir","Siduri"
"47","US",88,21,"Oregon","Reustle 2011 Prayer Rock Vineyards Engedi & Onyx Bloc Riesling (Umpqua Valley)","Riesling","Reustle"
"48","Italy",87,20,"Central Italy","Fattoria Paradiso 2015 Vigna del Molino Sangiovese (Romagna)","Sangiovese","Fattoria Paradiso"
"49","Italy",88,38,"Sicily & Sardinia","Tenuta Rapitalà 2006 Grand Cru Chardonnay (Sicilia)","Chardonnay","Tenuta Rapitalà"
"50","Chile",86,15,"Casablanca Valley","Viña Casablanca 2012 Nimbus Single Vineyard Syrah (Casablanca Valley)","Syrah","Viña Casablanca"
"51","US",84,40,"California","Judd's Hill 2009 Chardonnay (Napa Valley)","Chardonnay","Judd's Hill"
"52","Australia",89,15,"South Australia","Beastly Vines 2013 Cabernet Sauvignon-Shiraz-Merlot Red (South Australia)","Red Blend","Beastly Vines"
"53","US",89,50,"California","Sextant 2013 Night Watch Red (El Pomar District)","Red Blend","Sextant"
"54","France",84,20,"Provence","Château de Brigue 2016 Fleur Rosé (Côtes de Provence)","Rosé","Château de Brigue"
"55","Italy",88,14,"Northeastern Italy","Cliffhanger 2013 Estate Grown Pinot Grigio (Trentino)","Pinot Grigio","Cliffhanger"
"56","France",90,NA,"Bordeaux","Château du Tertre 2010 Barrel sample  (Margaux)","Bordeaux-style Red Blend","Château du Tertre"
"57","US",84,24,"California","Darcie Kent Vineyards 2008 Picazo Vineyard Merlot (Livermore Valley)","Merlot","Darcie Kent Vineyards"
"58","US",84,12,"California","Peirano 2006 The Heritage Collection Viognier (Lodi)","Viognier","Peirano"
"59","Italy",90,NA,"Central Italy","Lungarotti 2007 Toralco Red (Umbria)","Red Blend","Lungarotti"
"60","Italy",85,16,"Veneto","Bellenda 2005 Col di Luna Cabernet Sauvignon (Piave)","Cabernet Sauvignon","Bellenda"
"61","US",87,27,"California","Wait Cellars 2009 Devoto Garden Vineyard Pinot Noir (Green Valley)","Pinot Noir","Wait Cellars"
"62","Chile",92,40,"Cachapoal Valley","Santa Carolina 2009 VSC Red (Cachapoal Valley)","Red Blend","Santa Carolina"
"63","US",90,49,"California","Meyer Family Cellars 2012 Spitfire Cabernet Sauvignon (Oakville)","Cabernet Sauvignon","Meyer Family Cellars"
"64","US",95,50,"California","Copain Wines 2009 Wentzel Pinot Noir (Anderson Valley)","Pinot Noir","Copain Wines"
"65","US",84,25,"Michigan","Bowers Harbor 2010 Block II Riesling (Old Mission Peninsula)","Riesling","Bowers Harbor"
"66","Italy",91,NA,"Sicily & Sardinia","Occhipinti 2014 Frappato (Terre Siciliane)","Frappato","Occhipinti"
"67","US",87,45,"California","De Loach 2008 Thornton Vineyard Pinot Noir (Sonoma Coast)","Pinot Noir","De Loach"
"68","Spain",87,18,"Galicia","Nora 2014 Albariño (Rías Baixas)","Albariño","Nora"
"69","Spain",88,18,"Northern Spain","Bodegas Virgen del Águila 2004 Señorío del Águila Reserva Red (Cariñena)","Red Blend","Bodegas Virgen del Águila"
"70","Italy",89,35,"Tuscany","Fattoria San Michele a Torri 2008 Murtas Red (Colli della Toscana Centrale)","Red Blend","Fattoria San Michele a Torri"
"71","US",90,25,"Washington","Efeste 2014 Sauvage Boushey Vineyard Sauvignon Blanc (Yakima Valley)","Sauvignon Blanc","Efeste"
"72","Australia",86,17,"South Australia","Peter Lehmann 2008 Clancy's Shiraz-Cabernet Sauvignon-Merlot Red (Barossa)","Red Blend","Peter Lehmann"
"73","Portugal",87,10,"Lisboa","Casca Wines 2015 Cascas Winemaker Selection Red (Lisboa)","Portuguese Red","Casca Wines"
"74","France",89,28,"Languedoc-Roussillon","Les Vignerons de Tautavel Vingrau 2009 Réserve Vieilles Vignes Red (Côtes du Roussillon Villages Tautavel)","Rhône-style Red Blend","Les Vignerons de Tautavel Vingrau"
"75","US",85,14,"California","Pedroncelli 2013 East Side Vineyards Sauvignon Blanc (Dry Creek Valley)","Sauvignon Blanc","Pedroncelli"
"76","South Africa",84,10,"Western Cape","Two Oceans 2010 Chardonnay (Western Cape)","Chardonnay","Two Oceans"
"77","Spain",88,19,"Catalonia","Marqués de Gelida 2012 Brut Gran Reserva Sparkling (Penedès)","Sparkling Blend","Marqués de Gelida"
"78","Argentina",85,20,"Other","Altocedro 2013 Abras Malbec (Cafayate)","Malbec","Altocedro"
"79","Spain",90,NA,"Catalonia","Ferré I Catasús 2008 Terra de Fic 2 Red (Priorat)","Red Blend","Ferré I Catasús"
"80","US",91,18,"New York","Hermann J. Wiemer 2014 Dry Riesling (Seneca Lake)","Riesling","Hermann J. Wiemer"
"81","US",87,35,"California","Souverain 2011 Winemaker's Reserve Chardonnay (Russian River Valley)","Chardonnay","Souverain"
"82","US",92,25,"New York","N. Kendall Wines 2013 Dry Riesling (Finger Lakes)","Riesling","N. Kendall Wines"
"83","Italy",85,NA,"Tuscany","Tenuta di Sesta 2003  Brunello di Montalcino","Sangiovese Grosso","Tenuta di Sesta"
"84","Italy",88,19,"Sicily & Sardinia","Terre di Giurfo 2012 Kuntari Nero d'Avola (Sicilia)","Nero d'Avola","Terre di Giurfo"
"85","France",86,9,"Beaujolais","Henry Fessy 2012 Nouveau  (Beaujolais)","Gamay","Henry Fessy"
"86","US",91,20,"California","Vintage Cowboy 2016 Grenache Blanc (Paso Robles)","Grenache Blanc","Vintage Cowboy"
"87","New Zealand",86,17,"Marlborough","Saint Clair 2009 Vicar's Choice Sauvignon Blanc (Marlborough)","Sauvignon Blanc","Saint Clair"
"88","US",93,40,"California","Joseph Phelps 2016 Estate Grown Sauvignon Blanc (St. Helena)","Sauvignon Blanc","Joseph Phelps"
"89","US",92,30,"California","Fenestra 2013 Petite Sirah (Livermore Valley)","Petite Sirah","Fenestra"
"90","US",91,40,"Washington","Structure 2014 Upland Malbec (Snipes Mountain)","Malbec","Structure"
"91","Portugal",92,28,"Tejo","Quinta da Alorna 2013 Marquesa de Alorna Grande Reserva Branco White (Tejo)","Portuguese White","Quinta da Alorna"
"92","US",87,21,"California","Ferrari-Carano 2014 Siena Red (Sonoma County)","Red Blend","Ferrari-Carano"
"93","US",90,30,"Oregon","Heart Catcher 2014 Volcano Ridge Vineyard Merlot (Columbia Gorge (OR))","Merlot","Heart Catcher"
"94","US",85,10,"California","Healdsburg Ranches 2008 Cabernet Sauvignon (Sonoma County)","Cabernet Sauvignon","Healdsburg Ranches"
"95","US",92,52,"California","Calera 2009 Reed Pinot Noir (Mt. Harlan)","Pinot Noir","Calera"
"96","Georgia",87,15,"Georgia","Doqi 2015 Rkatsiteli (Georgia)","Rkatsiteli","Doqi"
"97","US",87,98,"California","Viszlay Vineyards 2011 Winemaker's Reserve Malbec (Russian River Valley)","Malbec","Viszlay Vineyards"
"98","Spain",83,15,"Levante","Bocopa 2014 Marina Alta Gran Selección Blanco Moscatel de Alejandría (Alicante)","Moscatel de Alejandría","Bocopa"
"99","US",83,11,"New York","Corey Creek 1998 Rosé (North Fork of Long Island)","Rosé","Corey Creek"
"100","Italy",90,40,"Northeastern Italy","Cantina Terlano 2012 Montigl Riserva Pinot Nero (Alto Adige)","Pinot Nero","Cantina Terlano"
"101","Germany",92,26,"Mosel","Reichsgraf von Kesselstatt 2014 Kaseler Nies'chen Kabinett Grosse Lage Riesling (Mosel)","Riesling","Reichsgraf von Kesselstatt"
"102","US",93,25,"Washington","Tenet 2014 The Pundit Syrah (Columbia Valley (WA))","Syrah","Tenet"
"103","US",85,22,"Washington","Mercer 2007 Merlot (Columbia Valley (WA))","Merlot","Mercer"
"104","Argentina",87,24,"Mendoza Province","Hacienda del Plata 2009 Arriero Reserve Blend Red (Mendoza)","Red Blend","Hacienda del Plata"
"105","US",86,52,"Oregon","Coelho 2015 Zeitoun Vineyard Pinot Noir (Eola-Amity Hills)","Pinot Noir","Coelho"
"106","France",94,NA,"Burgundy","Maison Champy 2008  Mazis-Chambertin","Pinot Noir","Maison Champy"
"107","US",87,15,"Washington","Mercer 2009 Pinot Gris (Yakima Valley)","Pinot Gris","Mercer"
"108","Australia",84,26,"Western Australia","Evans & Tate 2004 The Reserve Chardonnay (Margaret River)","Chardonnay","Evans & Tate"
"109","Greece",89,16,"Mantinia","Nasiakos 2012 Moschofilero (Mantinia)","Moschofilero","Nasiakos"
"110","US",90,30,"California","Dubost 2015 Rosé (Paso Robles)","Rosé","Dubost"
"111","Italy",87,56,"Piedmont","Cascina Adelaide 2005 4 Vigne  (Barolo)","Nebbiolo","Cascina Adelaide"
"112","US",86,24,"Virginia","King Family 2012 Chardonnay (Monticello)","Chardonnay","King Family"
"113","US",87,24,"Washington","Bergevin Lane 2012 Dreamweaver Roussanne (Columbia Valley (WA))","Roussanne","Bergevin Lane"
"114","Italy",90,50,"Tuscany","Terre Nere 2006 Riserva  (Brunello di Montalcino)","Sangiovese Grosso","Terre Nere"
"115","Italy",88,23,"Southern Italy","Terredora 2015 Loggia della Serra  (Greco di Tufo)","Greco","Terredora"
"116","US",82,36,"California","Adelaida 2010 Version Anna's Vineyard Red (Paso Robles)","Rhône-style Red Blend","Adelaida"
"117","US",94,25,"Washington","Kiona 2012 Ice Wine Chenin Blanc (Red Mountain)","Chenin Blanc","Kiona"
"118","US",89,45,"California","Martin Ray 2009 Reserve Cabernet Sauvignon (Sonoma Mountain)","Cabernet Sauvignon","Martin Ray"
"119","France",87,69,"Champagne","Alfred Gratien NV Brut  (Champagne)","Champagne Blend","Alfred Gratien"
"120","Italy",86,15,"Northeastern Italy","Kellerei Kaltern Caldaro 2012 Pinot Grigio (Alto Adige)","Pinot Grigio","Kellerei Kaltern Caldaro"
"121","US",87,16,"California","Whitehall Lane 2010 Sauvignon Blanc (Napa Valley)","Sauvignon Blanc","Whitehall Lane"
"122","US",94,60,"California","Hartford 2007 MacLain's Pinot Noir (Russian River Valley)","Pinot Noir","Hartford"
"123","France",91,48,"Burgundy","Maison Stéphane Brocard 2014 Closerie des Alisiers Vieilles Vignes  (Gevrey-Chambertin)","Pinot Noir","Maison Stéphane Brocard"
"124","France",91,33,"Burgundy","Bailly-Lapierre 2008 Vive-la-Joie Brut  (Crémant de Bourgogne)","Champagne Blend","Bailly-Lapierre"
"125","Portugal",86,20,"Minho","Casa de Vila Verde 2015 Pluma Reserva Alvarinho (Minho)","Alvarinho","Casa de Vila Verde"
"126","Argentina",88,20,"Mendoza Province","Viña Cobos 2012 Felino Cabernet Sauvignon (Mendoza)","Cabernet Sauvignon","Viña Cobos"
"127","France",90,33,"Burgundy","Domaine Guillemot-Michel 2008 Quintaine  (Mâcon-Villages)","Chardonnay","Domaine Guillemot-Michel"
"128","Argentina",89,19,"Mendoza Province","Nieto Senetiner 2015 Don Nicanor Malbec (Luján de Cuyo)","Malbec","Nieto Senetiner"
"129","US",91,37,"California","Foxen 2015 Tinaquaic Vineyard Chardonnay (Santa Maria Valley)","Chardonnay","Foxen"
"130","Italy",88,26,"Sicily & Sardinia","Baglio del Cristo di Campobello 2011 Lalùci Grillo (Sicilia)","Grillo","Baglio del Cristo di Campobello"
"131","US",82,10,"California","Rare NV 4 Grape Blend White (California)","White Blend","Rare"
"132","France",89,47,"Champagne","Camille Savès NV Carte Blanche Premier Cru Brut  (Champagne)","Champagne Blend","Camille Savès"
"133","Austria",88,24,"Burgenland","Feiler-Artinger 2006 Umriss Blaufränkisch (Burgenland)","Blaufränkisch","Feiler-Artinger"
"134","France",88,22,"Burgundy","Roche de Bellene 2010 Vieilles Vignes  (Bourgogne)","Chardonnay","Roche de Bellene"
"135","France",92,120,"Burgundy","Philippe Pacalet 2014  Nuits-St.-Georges","Pinot Noir","Philippe Pacalet"
"136","Italy",92,70,"Tuscany","Tenuta di Biserno 2005 Coronato  (Bolgheri)","Red Blend","Tenuta di Biserno"
"137","US",89,24,"California","Fields Family 2012 Estate Grown Syrah (Lodi)","Syrah","Fields Family"
"138","US",91,45,"Washington","Morell-Peña 2015 Amylla Loren Chardonnay (Columbia Valley (WA))","Chardonnay","Morell-Peña"
"139","Portugal",88,9,"Península de Setúbal","Casa Ermelinda Freitas 2013 Reserva Cabernet Sauvignon (Península de Setúbal)","Cabernet Sauvignon","Casa Ermelinda Freitas"
"140","US",89,54,"California","Manross 2013 Donnelly Creek Vineyard Pinot Noir (Anderson Valley)","Pinot Noir","Manross"
"141","US",89,18,"California","Four Fields 2011 Grenache (El Dorado)","Grenache","Four Fields"
"142","US",86,25,"Washington","Cave B 2014 Cuvée Blanc White (Ancient Lakes)","White Blend","Cave B"
"143","Spain",86,12,"Northern Spain","Ochoa 2009 Viura-Chardonnay White (Navarra)","White Blend","Ochoa"
"144","South Africa",86,10,"Stellenbosch","Bradgate 2008 Chenin Blanc - Sauvignon Blanc White (Stellenbosch)","White Blend","Bradgate"
"145","US",91,19,"New York","Keuka Spring 2015 Merlot (Finger Lakes)","Merlot","Keuka Spring"
"146","France",92,35,"Alsace","Domaine Roland Schmitt 2012 Altenberg de Bergbieten Grand Cru Les Jardins de Aurélien Gewurztraminer (Alsace)","Gewürztraminer","Domaine Roland Schmitt"
"147","Spain",87,14,"Northern Spain","Jardín de Lúculo 2012 Garnachas Atlánticas Garnacha (Navarra)","Garnacha","Jardín de Lúculo"
"148","US",92,45,"California","Hearst Ranch 2013 Carpoforo Zinfandel (Paso Robles)","Zinfandel","Hearst Ranch"
"149","US",86,38,"California","Red Car 2013 Chardonnay (Sonoma Coast)","Chardonnay","Red Car"
"150","Italy",92,50,"Tuscany","Castelli del Grevepesa 2012 Panzano Gran Selezione  (Chianti Classico)","Sangiovese","Castelli del Grevepesa"
"151","France",92,48,"Burgundy","Domaine Vrignaud 2012 Fourchaume Premier Cru Vieilles Vignes  (Chablis)","Chardonnay","Domaine Vrignaud"
"152","US",84,16,"California","Santa Barbara Winery 2011 Chardonnay (Santa Barbara County)","Chardonnay","Santa Barbara Winery"
"153","Italy",87,20,"Northeastern Italy","Abbazia di Novacella 2010 Müller-Thurgau (Alto Adige)","Müller-Thurgau","Abbazia di Novacella"
"154","US",90,85,"California","Animo 2010 Cabernet Sauvignon (Napa Valley)","Cabernet Sauvignon","Animo"
"155","US",84,18,"California","Vintners Signatures 2010 Chardonnay (Sonoma Coast)","Chardonnay","Vintners Signatures"
"156","US",88,22,"California","Spann Vineyards 2013 Mo Zin Red (California)","Red Blend","Spann Vineyards"
"157","US",91,45,"Washington","Syzygy 2007 Saros 154 Red (Columbia Valley (WA))","Red Blend","Syzygy"
"158","US",88,22,"California","Verse & Chorus 2013 Mat Kearney Red (Napa Valley)","Red Blend","Verse & Chorus"
"159","Australia",85,13,"South Australia","Temple Bruer 1998 Cornucopia Grenache (Langhorne Creek)","Grenache","Temple Bruer"
"160","US",91,55,"Washington","Betz Family 2007 La Côte Patriarche Syrah (Yakima Valley)","Syrah","Betz Family"
"161","Chile",88,18,"Leyda Valley","Alto Los Romeros 2013 Gran Reserva Sauvignon Blanc (Leyda Valley)","Sauvignon Blanc","Alto Los Romeros"
"162","US",88,NA,"Washington","Novelty Hill 2013 Merlot (Columbia Valley (WA))","Merlot","Novelty Hill"
"163","US",87,28,"California","Keating 2012 Montecillo Vineyard Zinfandel (Sonoma Valley)","Zinfandel","Keating"
"164","Italy",91,50,"Tuscany","Tenuta Vitanza 2008 Tradizione  (Brunello di Montalcino)","Sangiovese Grosso","Tenuta Vitanza"
"165","US",89,32,"California","Shannon 2014 Reserve Red Hills Ranch Chardonnay (Lake County)","Chardonnay","Shannon"
"166","US",90,40,"Washington","Wilridge 2013 Mélange Noir Estate Wilridge Vineyard Red (Naches Heights)","Bordeaux-style Red Blend","Wilridge"
"167","France",91,55,"Champagne","A. Margaine NV Le Brut Premier Cru  (Champagne)","Champagne Blend","A. Margaine"
"168","France",85,13,"Burgundy","Cave de Lugny 2016 La Côte Blanche  (Mâcon-Villages)","Chardonnay","Cave de Lugny"
"169","US",91,21,"California","Margerum 2013 Sybarite Sauvignon Blanc (Happy Canyon of Santa Barbara)","Sauvignon Blanc","Margerum"
"170","US",88,25,"New York","Sheldrake Point 2007 Reserve Riesling (Finger Lakes)","Riesling","Sheldrake Point"
"171","Austria",90,30,"Kamptal","Steininger 2015 Grand Grü Reserve Grüner Veltliner (Kamptal)","Grüner Veltliner","Steininger"
"172","Italy",87,32,"Tuscany","Cantina del Giusto 2011 San Claudio II Riserva  (Vino Nobile di Montepulciano)","Red Blend","Cantina del Giusto"
"173","France",88,30,"Southwest France","Robert et Bernard Plageoles 2008 Muscadel (Gaillac Doux)","Muscadel","Robert et Bernard Plageoles"
"174","US",88,49,"California","Bravium 2014 Wiley Vineyard Pinot Noir (Anderson Valley)","Pinot Noir","Bravium"
"175","US",84,18,"Oregon","Kason 2009 Grand Cru Chardonnay (Willamette Valley)","Chardonnay","Kason"
"176","Argentina",86,10,"Mendoza Province","Carlos Basso 2008 Dos Fincas Cabernet Sauvignon-Merlot (Uco Valley)","Cabernet Sauvignon-Merlot","Carlos Basso"
"177","Spain",88,20,"Central Spain","Aljibes 2012 Viña Aljibes Cabernet  Sauvignon-Syrah-Cabernet Franc-Tempranillo Red (Vino de la Tierra de Castilla)","Red Blend","Aljibes"
"178","US",91,36,"California","Keenan 2008 Merlot (Napa Valley)","Merlot","Keenan"
"179","US",94,50,"California","WesMar 2007 Hellenthal Vineyard Pinot Noir (Sonoma Coast)","Pinot Noir","WesMar"
"180","Italy",88,66,"Piedmont","Mario Gagliasso 2010 Rocche dell'Annunziata  (Barolo)","Nebbiolo","Mario Gagliasso"
"181","France",90,20,"Bordeaux","Château Langlet 2014  Graves","Sauvignon Blanc","Château Langlet"
"182","US",90,32,"Washington","Sparkman 2015 Wonderland Grenache (Yakima Valley)","Grenache","Sparkman"
"183","US",87,55,"New York","Chateau Lafayette Reneau 2005 Owner's Reserve Cabernet Sauvignon (Finger Lakes)","Cabernet Sauvignon","Chateau Lafayette Reneau"
"184","US",87,33,"New York","Sparkling Pointe 2007 Topaz Imperial Sparkling (North Fork of Long Island)","Sparkling Blend","Sparkling Pointe"
"185","Italy",88,25,"Northeastern Italy","Colterenzio 2010 Prail Sauvignon (Alto Adige)","Sauvignon","Colterenzio"
"186","France",91,27,"Bordeaux","Château Phélan-Ségur 2012 La Croix Bonis  (Saint-Estèphe)","Bordeaux-style Red Blend","Château Phélan-Ségur"
"187","Italy",90,29,"Northeastern Italy","St. Pauls 2007 Luziafeld Exclusiv Pinot Nero (Alto Adige)","Pinot Nero","St. Pauls"
"188","Italy",88,40,"Sicily & Sardinia","Valenti 2011 Puritani Rosso  (Etna)","Red Blend","Valenti"
"189","US",91,48,"California","Smith-Madrone 2011 Cabernet Sauvignon (Spring Mountain District)","Cabernet Sauvignon","Smith-Madrone"
"190","France",93,NA,"Burgundy","Domaine des Comtes Lafon 2007 Clos des Chênes Premier Cru  (Volnay)","Pinot Noir","Domaine des Comtes Lafon"
"191","US",92,95,"Oregon","Domaine Serene 2015 Coeur Blanc (White Heart) Pinot Noir (Willamette Valley)","Pinot Noir","Domaine Serene"
"192","US",93,30,"California","Mumm Napa 2006 Blanc de Blancs Sparkling (Napa Valley)","Sparkling Blend","Mumm Napa"
"193","France",92,105,"Burgundy","Olivier Leflaive 2010 Charmes Premier Cru  (Meursault)","Chardonnay","Olivier Leflaive"
"194","Spain",85,9,"Central Spain","Maximo 2012 Edicion Limitada Viura (Vino de la Tierra de Castilla)","Viura","Maximo"
"195","France",86,NA,"Burgundy","Nicolas Potel 2010  Bourgogne","Pinot Noir","Nicolas Potel"
"196","US",90,46,"California","Mumm Napa 2010 Blanc de Blancs Oak Barrel Aged Sparkling (Napa Valley)","Sparkling Blend","Mumm Napa"
"197","Chile",89,24,"Casablanca Valley","Kingston Family 2014 Sabino Chardonnay (Casablanca Valley)","Chardonnay","Kingston Family"
"198","US",87,42,"Washington","Mercer 2014 Reserve Spice Cabinet Vineyard Syrah (Horse Heaven Hills)","Syrah","Mercer"
"199","US",93,39,"California","Schramsberg 2010 Crémant Demi-Sec Sparkling (Napa Valley)","Sparkling Blend","Schramsberg"
"200","US",90,48,"Washington","Alleromb 2013 Vineyard Collection Chardonnay (Columbia Valley (WA))","Chardonnay","Alleromb"
"201","Australia",92,30,"South Australia","Kilikanoon 2015 Mort's Reserve Riesling (Clare Valley)","Riesling","Kilikanoon"
"202","France",85,17,"Provence","Château de Brigue 2011 Signature Rosé (Côtes de Provence)","Rosé","Château de Brigue"
"203","US",90,22,"California","Matchbook 2013 The Arsonist Red (California)","Red Blend","Matchbook"
"204","Portugal",90,NA,"Lisboa","Quinta de Chocapalha 2009 Chocapalha Reserva Branco White (Lisboa)","Portuguese White","Quinta de Chocapalha"
"205","US",87,42,"California","Silver Mountain 2009 Miller Hill Vineyard Pinot Noir (Santa Cruz Mountains)","Pinot Noir","Silver Mountain"
"206","France",91,NA,"Bordeaux","Château Quintus 2012 Le Dragon de Quintus  (Saint-Émilion)","Bordeaux-style Red Blend","Château Quintus"
"207","Austria",91,44,"Kamptal","Summerer 2006 Käferberg Grüner Veltliner (Kamptal)","Grüner Veltliner","Summerer"
"208","Italy",84,25,"Tuscany","Albatreti 2014  Rosso di Montalcino","Sangiovese","Albatreti"
"209","US",90,35,"Washington","Matthews 2016 Reserve Sauvignon Blanc (Columbia Valley (WA))","Sauvignon Blanc","Matthews"
"210","Portugal",87,7,"Tejo","Adega Cooperativa do Cartaxo 2013 Bridão Clássico Red (Tejo)","Portuguese Red","Adega Cooperativa do Cartaxo"
"211","Italy",81,15,"Southern Italy","Miali 2010 LussoBlu Sauvignon (Salento)","Sauvignon","Miali"
"212","US",90,48,"California","Belden Barns 2014 Serendipity Block Pinot Noir (Sonoma Mountain)","Pinot Noir","Belden Barns"
"213","US",88,27,"California","Pech Merle 2010 Cuccio Zinfandel (Dry Creek Valley)","Zinfandel","Pech Merle"
